NAME,TEAM,FTM_AVG,SET_EASY,TIER_EASY,SERIES_EASY,PLAY_EASY,COUNT_EASY,LOW_ASK_EASY,4HCHANGE %,SET_HARD,TIER_HARD,SERIES_HARD,PLAY_HARD,COUNT_HARD,LOW_ASK_HARD,4HCHANGE%
Chris Boucher,TOR,1.79,Base Set,Common,3,Dunk,60000,2.00,0.00,Base Set,Common,2,Block,12000,12.00,0.00
Mike Conley,UTA,1.79,Base Set,Common,3,Layup,60000,3.00,0.00,Base Set,Common,1,3 Pointer,3999,43.00,0.00
Tim Hardaway Jr.,DAL,1.78,Base Set,Common,2,Dunk,40000,4.00,0.00,Metallic Gold LE,Rare,2,Dunk,499,202.00,0.00
Kemba Walker,NYK,1.78,Base Set,Common,2,Assist,40000,4.00,0.00,Base Set,Common,1,Assist,1927,62.00,3.33
Reggie Jackson,LAC,1.77,Base Set,Common,3,Layup,60000,3.00,0.00,Base Set,Common,2,Dunk,12000,8.00,0.00
Richaun Holmes,SAC,1.77,Base Set,Common,3,Dunk,60000,3.00,0.00,Metallic Gold LE,Rare,2,Dunk,499,182.00,0.00
Isaac Okoro,CLE,1.76,Base Set,Common,3,Dunk,60000,3.00,50.00,Base Set,Common,2,Dunk,4000,55.00,0.00
Alex Caruso,CHI,1.71,Base Set,Common,3,Dunk,60000,3.00,0.00,Throwdowns,Rare,2,Dunk,1800,90.00,-2.17
Hassan Whiteside,UTA,1.70,Base Set,Common,3,Block,60000,3.00,0.00,Base Set,Common,1,Block,3344,57.00,42.50
Chaundee Brown Jr.,ATL,1.67,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Immanuel Quickley,NYK,1.66,Base Set,Common,2,Handles,40000,7.00,0.00,Base Set,Common,2,Jump Shot,4000,85.00,-3.41
Lauri Markkanen,CLE,1.66,Base Set,Common,2,Dunk,40000,5.00,-16.67,Base Set,Common,2,Dunk,12000,11.00,0.00
Nassir Little,POR,1.63,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,2,Dunk,12000,32.00,0.00
Eric Bledsoe,LAC,1.63,Base Set,Common,2,Block,15000,9.00,12.50,Metallic Gold LE,Rare,2,Jump Shot,499,120.00,-9.09
Buddy Hield,SAC,1.63,Base Set,Common,2,Layup,40000,12.00,-7.69,Base Set,Common,1,Dunk,3999,59.00,-9.23
